text,pos,sentiment,tense
"That ’s why, in an era of political lies and Brexit bias, more readers are turning to an independent source.",PRON ADV SCONJ PUNCT ADP DET NOUN ADP ADJ NOUN CCONJ PROPN NOUN PUNCT ADJ NOUN AUX VERB ADP DET ADJ NOUN PUNCT,negative,present
Sign up for Take Action Now and we ’ll send you three meaningful actions you can take each week.,VERB ADP ADP VERB PROPN ADV CCONJ PRON AUX VERB PRON NUM ADJ NOUN PRON AUX VERB DET NOUN PUNCT,negative,past
They won't understand.,PRON AUX PART VERB PUNCT,negative,future
Hands off developers who were struggling.,VERB ADP NOUN PRON AUX VERB PUNCT,negative,past
The Gathwrights affects the H&M 5 - 6.,DET PROPN VERB DET PROPN NUM SYM NUM PUNCT,negative,present
22 - year - old Joseph Schofield was shot on Valentine Avenue and lightly to death today and body along a sidewalk to reduce the body weight.,NUM PUNCT NOUN PUNCT ADJ PROPN PROPN PROPN AUX VERB ADP PROPN PROPN CCONJ VERB ADP NOUN NOUN CCONJ NOUN ADP DET NOUN PART VERB DET NOUN NOUN PUNCT,negative,past
Why did I miss your concert?,SCONJ AUX PRON VERB PRON NOUN PUNCT,negative,past
It's been a painful experience.,PRON AUX AUX DET ADJ NOUN PUNCT,negative,present
He acts like an idiot.,PRON VERB ADP DET NOUN PUNCT,negative,future
annihilate the kulaks.,VERB DET NOUN PUNCT,negative,future
It ’s a lot of garbage.,PRON VERB DET NOUN ADP NOUN PUNCT,negative,present
There ’s no good record … ”,PRON VERB DET ADJ NOUN PUNCT PUNCT,negative,future
Democrats yesterday had made a major mistake in the Senate and House - controlled votes and hopes of assailing the repeal of the program and whether Democrats were considering a chance to extend its controversial anti - TPP efforts.,PROPN NOUN AUX VERB DET ADJ NOUN ADP DET PROPN CCONJ PROPN PUNCT VERB NOUN CCONJ NOUN ADP VERB DET NOUN ADP DET NOUN CCONJ SCONJ NOUN AUX VERB DET NOUN PART VERB PRON ADJ ADJ NOUN PUNCT,negative,past
"Islamists were invading the city, Levantine, Misurata, and Benanpur, Somalia on their own terms.",NOUN AUX VERB DET NOUN PUNCT PROPN PUNCT PROPN PUNCT CCONJ PROPN PUNCT PROPN ADP PRON ADJ NOUN PUNCT,negative,past
"I make notes that they are deliberately vague, but only 20 %.",PRON VERB NOUN SCONJ PRON AUX ADV ADJ PUNCT CCONJ ADV NUM NOUN PUNCT,negative,future
Withoutelia candles would smell like it seeping rapidly.,PROPN NOUN AUX VERB ADP PRON VERB ADV PUNCT,negative,future
"The left group would the heirs of Communism, the black bloc of either ethnic or racialized as well as free speech.",DET ADJ NOUN AUX DET PROPN ADP PROPN PUNCT DET ADJ NOUN ADP CCONJ ADJ CCONJ VERB ADV ADV ADP ADJ NOUN PUNCT,negative,future
The last four years high court dismissed arguments by Goldberg asking the PCB leadership to reconsider the final version failing to meet public interest demands.,DET ADJ NUM NOUN ADJ NOUN VERB NOUN ADP PROPN VERB DET PROPN NOUN PART VERB DET ADJ NOUN VERB PART VERB ADJ NOUN NOUN PUNCT,negative,past
"People have long wondered whether the YGCA system is doing in concert with extreme militarism in the conflict that has historically focused on the Western system, including the military and the media.",NOUN AUX ADV VERB SCONJ DET PROPN NOUN AUX VERB ADP NOUN ADP ADJ NOUN ADP DET NOUN PRON AUX ADV VERB ADP DET ADJ NOUN PUNCT VERB DET NOUN CCONJ DET NOUN PUNCT,negative,present
"In a sense, as the 5 - bet Crosby puts it, Brood takes a beating on game.",ADP DET NOUN PUNCT SCONJ DET NUM PUNCT PROPN PROPN VERB ADP PUNCT PROPN VERB DET NOUN ADP NOUN PUNCT,negative,present
"Two weeks later, walking to the city - based hospital in Suffern Township, Pennsylvan, for medical marijuana, there's a problem going.",NUM NOUN ADV PUNCT VERB ADP DET NOUN PUNCT VERB NOUN ADP PROPN PROPN PUNCT PROPN PUNCT ADP ADJ PROPN PUNCT ADV ADP DET PROPN PROPN PUNCT DET NOUN VERB PUNCT,negative,present
"And perhaps most importantly, they can easily identify the actuality of their own destruction if they consider alienation to their raisoniective myth, which they now are — and must therefore aspire to the dual - purpose means of the abuse, not at full employment.",ADV CCONJ ADV ADV PUNCT PRON AUX ADV VERB DET NOUN ADP PRON ADJ NOUN SCONJ PRON VERB NOUN ADP PRON PROPN NOUN PUNCT PRON PRON ADV AUX PUNCT CCONJ AUX ADV VERB ADP DET ADJ PUNCT ADJ NOUN ADP DET NOUN PUNCT PART ADP ADJ NOUN PUNCT,negative,future
""" Let's call the National Capital Commission, "" in any event, shamefully using its power to backstop for a host of entertainment reasons that I have been a home target for.",PUNCT VERB PRON VERB DET PROPN PROPN PROPN PUNCT PUNCT ADP DET NOUN PUNCT ADV VERB PRON NOUN PART VERB ADP DET NOUN ADP NOUN NOUN SCONJ PRON AUX AUX DET NOUN NOUN ADP PUNCT,negative,past
That which loses?,PRON PRON VERB PUNCT,negative,present
Trump gave the right answer several hundred years ago during a campaign ’s heyday in the heart of California — in November.,NOUN VERB DET ADJ NOUN ADJ NUM NOUN ADV ADP DET NOUN PART NOUN ADP DET NOUN ADP PROPN PUNCT ADP PROPN PUNCT,negative,past
But the protests that did not concern the site of the Florida democracy.,CCONJ DET NOUN PRON AUX PART VERB DET NOUN ADP DET PROPN NOUN PUNCT,negative,past
"At this point, I expect an outburst of Terrible Habibitation.",ADP DET NOUN PUNCT PRON VERB DET NOUN ADP PROPN PROPN PUNCT,negative,future
"So I mean, I hate it, it sucks!",ADV PRON VERB PUNCT PRON VERB PRON PUNCT PRON VERB PUNCT,negative,present
"Your building code in general language will messy too, and your entire API wo n’t.",PRON NOUN NOUN ADP ADJ NOUN AUX ADJ ADV PUNCT CCONJ PRON ADJ NOUN VERB NOUN PUNCT,negative,future
"Turkey was heavily criticized, burned to death dozens, and burned beyond recognition time when barrel bombs rained the villages.",PROPN AUX ADV VERB PUNCT VERB ADP NOUN NOUN PUNCT CCONJ VERB ADP NOUN NOUN SCONJ NOUN NOUN NOUN VERB DET NOUN PUNCT,negative,past
"I have made this clear today, however I do not actually read, ” she says.",PRON AUX VERB DET ADJ NOUN PUNCT ADV PRON AUX PART ADV AUX ADV VERB PUNCT PUNCT PRON VERB PUNCT,negative,present
"If we were able to understand that fraud was a cover - breaking bug, the result was immediate for many people.",SCONJ PRON AUX ADJ PART VERB SCONJ NOUN AUX DET NOUN PUNCT VERB NOUN PUNCT DET NOUN AUX ADJ ADP ADJ NOUN PUNCT,negative,past
""" Mind Geo now means "" Fuck ""!",PUNCT PROPN PROPN ADV VERB PUNCT PROPN PUNCT PUNCT,negative,present
The Muslims must be ashamed of themselves. ”,DET PROPN AUX AUX VERB ADP PRON PUNCT PUNCT,negative,future
"Lawmaker has made Canada bad news last May, when the Energy Minister suggests that Canadian executives owe zero money to Exxon for every operational cost.",NOUN AUX VERB PROPN ADJ NOUN ADJ PROPN PUNCT SCONJ DET PROPN PROPN VERB SCONJ ADJ NOUN VERB NUM NOUN ADP PROPN ADP DET ADJ NOUN PUNCT,negative,present
The federal life insurance system has also been criticized as unconstitutional in $ 3 trillion.,DET ADJ NOUN NOUN NOUN AUX ADV AUX VERB ADP ADJ ADP SYM NUM NUM PUNCT,negative,present
We ’re rid of science that we can trust the government.,PRON AUX VERB ADP NOUN PRON PRON AUX VERB DET NOUN PUNCT,negative,future
The front Samarra district received criticism for Hawija tactics ( one where the top Hawija militia called the Nusra ( Nusra ) ” 10 million - US - US coalition.,DET ADJ ADJ NOUN VERB NOUN ADP PROPN NOUN PUNCT NUM SCONJ DET ADJ PROPN VERB DET PROPN PUNCT PROPN PUNCT PUNCT NUM NUM SYM PROPN PUNCT NOUN NOUN PUNCT,negative,past
"3 ) The concern with honour, dignity may fall on to section IV duty ( individual rights, public office, public office, public office ).",X PUNCT DET NOUN ADP NOUN PUNCT NOUN AUX VERB ADP ADP NOUN PROPN NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT CCONJ PROPN NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT PUNCT,negative,future
"But, no doubt, Patrick Glass was one of the oldest to die of exhaustion.",CCONJ PUNCT ADV ADV PUNCT PROPN PROPN AUX NUM ADP DET ADJ PART VERB ADP NOUN PUNCT,negative,past
"The government has confiscated the equipment from 3,500 people and three wives elsewhere.",DET NOUN AUX VERB DET NOUN ADP NUM NOUN CCONJ NUM NOUN ADV PUNCT,negative,present
"Those schools did not have administrators, who had to deal with them for a long time.",DET NOUN AUX PART VERB NOUN PUNCT PRON VERB PART VERB ADP PRON ADP DET ADJ NOUN PUNCT,negative,past
"The GDR already had been falling on the other hand, where deep - seated protests against apartheid served to legitimize voluntary expulsions which had to be cut off altogether.",DET PROPN ADV AUX AUX AUX VERB ADP DET ADJ NOUN PUNCT SCONJ ADJ PUNCT ADJ NOUN ADP NOUN VERB PART VERB ADJ NOUN PRON VERB PART AUX VERB ADP ADV PUNCT,negative,past
"Still, the Badger guy always will cause a horrible injury.",ADV PUNCT DET ADJ NOUN ADV AUX VERB DET ADJ NOUN PUNCT,negative,future
The second reason I do n’t want to leave this essay for somebody with me to do a very dirty or sexist thing.,DET ADJ NOUN PRON VERB NOUN AUX PART VERB DET NOUN ADP PRON ADP PRON NOUN PART VERB DET ADV ADJ CCONJ ADJ NOUN PUNCT,negative,future
"Sunday's winner and prime minister Anzhi Mursi got in Tunisia, and his house and other property seized, owing to Egyptian banks, which believed he had also been detained for a month.",PROPN PART NOUN CCONJ ADJ NOUN PROPN PROPN VERB ADP PROPN PUNCT CCONJ PRON NOUN CCONJ ADJ NOUN VERB PUNCT VERB ADP ADJ NOUN PUNCT PRON VERB PRON AUX ADV AUX VERB ADP DET NOUN PUNCT,negative,past
"The second problem was that they showed that despite their repeated calls calling came from inside the organization, including White House and Senate Democrats accusing them last week of a failure to make on a 45 - 40 finish Saturday.",DET ADJ NOUN AUX SCONJ PRON VERB SCONJ SCONJ PRON VERB DET ADJ NOUN VERB ADP ADP DET NOUN PUNCT VERB PROPN PROPN CCONJ PROPN PROPN VERB PRON ADJ NOUN NOUN ADP DET NOUN PART VERB ADP DET NUM SYM NUM NOUN PROPN PUNCT,negative,past
Emma Frost ( D ) ; One of the four antagonists who would lead to the entire plotline next arc as well as Azkaban would be killed.,PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT PUNCT NUM ADP DET NUM NOUN PRON AUX VERB ADP DET ADJ NOUN ADJ PROPN NOUN ADV ADV ADP PROPN AUX AUX VERB PUNCT,negative,future
Eight things are missing and Rahm pleaded guilty and guilty to a felony in his case despite that much playing field.,NUM NOUN AUX VERB CCONJ PROPN VERB ADJ CCONJ ADJ ADP DET NOUN ADP PRON NOUN SCONJ SCONJ PRON ADV VERB NOUN PUNCT,negative,past
He ’s composed of generous thoughts and suggests terrible things.,PRON VERB VERB ADP ADJ NOUN CCONJ VERB ADJ NOUN PUNCT,negative,present
"They could have stolen money from the children because the companies, unaccustomed to extortions and endless lies and often do have the same data to the official accounts.",PRON AUX AUX VERB NOUN ADP DET NOUN SCONJ DET NOUN PUNCT ADJ ADJ NOUN AUX PART ADV ADJ NOUN CCONJ ADJ NOUN CCONJ ADV AUX VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT,negative,future
"Prosecutors want access to Mica Peleón, her publisher at one point, a much worse publisher than her publisher.",NOUN VERB NOUN ADP PROPN PROPN PUNCT PRON NOUN ADP NUM NOUN PUNCT DET ADV ADJ NOUN ADP PRON NOUN PUNCT,negative,future
"In my opinion, you should miss college as well as the two holidays.",ADP PRON NOUN PUNCT PRON AUX VERB NOUN ADV ADV ADP DET NUM NOUN PUNCT,negative,future
"We all deal with such huge responses, they have at last little chance of regaining into the limelight of America : focusing them on providing humane treatment.",PRON PRON VERB ADP ADJ ADJ NOUN PUNCT PRON VERB ADP ADJ ADJ NOUN ADP VERB ADP DET NOUN ADP PROPN PUNCT VERB PRON ADP VERB ADJ NOUN PUNCT,negative,present
Critics of privatisation are accusing liberal democracy of politicising security policies through privatisation and creating uncertainty and uncertainty about spending more money on services.,NOUN ADP NOUN AUX VERB ADJ NOUN ADP VERB NOUN NOUN ADP NOUN CCONJ VERB NOUN CCONJ NOUN ADP VERB ADJ NOUN ADP NOUN PUNCT,negative,present
"His family are able to afford a high school education that would go down to 12,000 oracular schools ( DeVoses ) have better health, families, and incomes going down to make it financially difficult for Ryan's parents, as needed to help him financially.",PRON NOUN AUX ADJ PART VERB DET ADJ NOUN NOUN PRON AUX VERB ADV ADP PROPN NUM CCONJ PROPN NUM PUNCT PROPN PUNCT VERB ADJ NOUN PUNCT NOUN PUNCT CCONJ NOUN VERB ADP VERB NOUN PRON VERB NOUN ADP PROPN PART NOUN PUNCT SCONJ VERB PART VERB PRON ADV PUNCT,negative,future
"His'real self - interest, really, is a hobby prodigy, but at least in those who aren't skilled enough to overcome his evil nuffieldy personality.",PRON PART ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADV ADV PUNCT AUX DET ADJ NOUN PUNCT CCONJ ADP ADJ ADP PRON PRON AUX PART ADJ ADV PART VERB PRON ADJ ADJ NOUN PUNCT,negative,future
"Furthermore, the stock market had been roiled for several years by numerous sanctions and their effects.",ADV PUNCT DET NOUN NOUN AUX AUX VERB ADP ADJ NOUN ADP ADJ NOUN CCONJ PRON NOUN PUNCT,negative,past
"Children at the Heimwehr and at the movie theater, Universal, are subject to reputations and criticism from the political class except in the name of the courageous individuals to whom that criticism stands.",NOUN ADP DET PROPN CCONJ ADP DET NOUN NOUN PUNCT PROPN PUNCT AUX ADJ ADP NOUN CCONJ NOUN ADP DET ADJ NOUN SCONJ ADP DET NOUN ADP DET ADJ NOUN PART PRON DET NOUN VERB PUNCT,negative,future
""" Instead leading Republicans, "" half of their voters will be giving back money in debt to balance and in candidates'run.",PUNCT ADV VERB PROPN PUNCT PUNCT NOUN ADP PRON NOUN AUX AUX VERB VERB ADP NOUN ADP NOUN CCONJ ADP NOUN PART NOUN PUNCT,negative,future
"It was the perfect opportunity to change our Pledge Monday and Pledge Wednesday as simple, and walked away in the van.",PRON AUX DET ADJ NOUN PART VERB PRON PROPN PROPN CCONJ PROPN PROPN ADV ADJ PUNCT CCONJ VERB ADV ADP ADP DET NOUN PUNCT,negative,past
All of this is dispelling Bradley as a detractor from attacking Bradley Hill ’s reputation.,PRON ADP PRON AUX VERB PROPN ADP DET NOUN ADP VERB PROPN PROPN NUM NOUN PUNCT,negative,present
"The pattern in the book about Davis ’s Rebellion was clearly meant to be shocking, with many a reader to feel that writers were conflating with reality while they were playing in their fantasy at conception.",DET NOUN ADP DET NOUN ADP PROPN PART PROPN AUX ADV VERB PART AUX ADJ PUNCT ADP ADJ DET NOUN PART VERB SCONJ NOUN AUX VERB ADP NOUN SCONJ PRON AUX VERB ADP PRON NOUN ADP NOUN PUNCT,negative,past
"The results and above just... A look at the overall picture for the biggest gun control crowd that's happened in Florida and Ohio City and is juxtaposed the picture for most gunners with AfricanAmericans — it seems one of them dead, or barely credible — voters.",DET NOUN CCONJ ADV ADV PUNCT DET DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN NOUN NOUN PRON AUX VERB ADP PROPN CCONJ PROPN PROPN CCONJ AUX VERB DET NOUN ADP ADJ NOUN ADP PROPN ADP ADJ NOUN PUNCT PRON VERB NUM ADP PRON ADJ PUNCT CCONJ ADV ADJ PUNCT NOUN PUNCT,negative,present
"At the same time, a great deal of research is putting the highest costs of happiness pay in individuals high levels of highly social care spending.",ADP DET ADJ NOUN PUNCT DET ADJ NOUN ADP NOUN AUX VERB DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADJ NOUN ADP ADV ADJ NOUN NOUN PUNCT,negative,present
"Even if sunny are sunny, summer, you ’re probably the only winter in the country that so I want to cover, but if I want it, you have no idea of it.",ADV SCONJ ADJ AUX ADJ PUNCT NOUN PUNCT PRON VERB ADV DET ADJ ADJ NOUN ADP DET NOUN PRON ADV PRON VERB PART VERB PUNCT CCONJ SCONJ PRON VERB PRON PUNCT PRON VERB DET NOUN ADP PRON PUNCT,negative,future
"By mid - March last year, the CDC “ Vaccines ” candidate, citing Gary Peters was n’t the only confirmed vaccine in the Western world that the officials failed to prevent the infection.",ADP PROPN PROPN PROPN NOUN PUNCT DET PROPN PUNCT NOUN PUNCT VERB PROPN PROPN AUX PROPN DET ADJ VERB NOUN ADP DET ADJ NOUN SCONJ DET NOUN VERB PART VERB DET NOUN PUNCT,negative,past
"The Blues were n’t to much help during the Shield, finishing “ No. the Blues No.",DET PROPN AUX PROPN PART ADJ NOUN ADP DET PROPN PUNCT VERB PUNCT ADV PUNCT DET PROPN PROPN PUNCT,negative,past
"The film has already screened below "" Last "" romantic comedies, physical comedy, and teen - RPG, which is expected to hit as a final four to five months.",DET NOUN AUX ADV VERB ADV PUNCT ADJ PUNCT ADJ PUNCT ADJ NOUN PUNCT CCONJ NOUN PUNCT PRON AUX VERB PART VERB ADP DET ADJ NUM PART NUM NOUN PUNCT,negative,present
""" The idea that I would have attempted to compare Union Point would one tiny fraction of their projected value. """,PUNCT DET NOUN SCONJ PRON AUX AUX VERB PART VERB PROPN PROPN AUX NUM ADJ NOUN ADP PRON VERB NOUN PUNCT PUNCT,negative,future
This involves having the flacks of refugees and destroying the chances of returning alive while completely destroying the potential defenders.,PRON VERB VERB DET NOUN ADP NOUN CCONJ VERB DET NOUN ADP VERB ADJ SCONJ ADV VERB DET ADJ NOUN PUNCT,negative,future
"To be very clear, Aberdeen ’s ice cream company the Scottish Professional Dairy Institute ( AHA ), a British company that paid heavily on protecting workers ’ shared interests.",PART AUX ADV ADJ PUNCT PROPN PUNCT NOUN NOUN VERB DET ADJ PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT DET ADJ NOUN PRON VERB ADV ADP VERB NOUN PUNCT VERB NOUN PUNCT,negative,past
Is the South African government acting a racist club?,AUX DET ADJ ADJ NOUN VERB DET ADJ NOUN PUNCT,negative,present
These consequences are unpredictable and the task will for politicians in the unlikely event of FARC.,DET NOUN AUX ADJ CCONJ DET NOUN AUX ADP NOUN ADP DET ADJ NOUN ADP PROPN PUNCT,negative,future
"Still, you can bet in hell of an ugly face you see at the White House.",ADV PUNCT PRON AUX VERB ADP NOUN ADP DET ADJ NOUN PRON VERB ADP DET PROPN PROPN PUNCT,negative,future
"In a situation where America is loaded with a gun and has little to show the maw, it ’s more than simply, if that is not the right mix, to put on the test for excellence.",ADP DET NOUN SCONJ PROPN AUX VERB ADP DET NOUN CCONJ VERB ADJ PART VERB DET NOUN PUNCT PRON VERB ADJ ADP ADV PUNCT SCONJ PRON AUX PART DET ADJ NOUN PUNCT PART VERB ADP DET NOUN ADP NOUN PUNCT,negative,present
"This includes a 40 - year - old woman, and a slightly pregnant woman with her baby is my main target, which ultimately tends to make abortions harder.",PRON VERB DET NUM PUNCT NOUN PUNCT ADJ NOUN PUNCT CCONJ DET ADV ADJ NOUN ADP PRON NOUN AUX PRON ADJ NOUN PUNCT PRON ADV VERB PART VERB NOUN ADP PRON PUNCT,negative,present
Anyone with a past may at one point fail.,PRON ADP DET NOUN AUX ADP NUM NOUN ADJ PUNCT,negative,future
"They are only two things, of course, when dealing with two people, without any real useful sense of community organization.",PRON AUX ADV NUM NOUN PUNCT ADP NOUN PUNCT SCONJ VERB ADP NUM NOUN PUNCT ADP DET ADV ADJ NOUN ADP NOUN NOUN PUNCT,negative,future
"Even in select cities like Montreal, Austin can continue in poor repair and ruins for the Canadian economy during December through 2022′-17′ of PC Harness, short - term sustainability for all things Vancouver. ”",ADV ADP ADJ NOUN ADP PROPN PUNCT PROPN AUX VERB ADP ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN ADP PROPN ADP NUM NOUN ADP PROPN PROPN PUNCT ADJ PUNCT NOUN NOUN ADP DET NOUN PROPN PUNCT PUNCT,negative,future
"Craft Beer : Yes, "" dry "" tasting cider for years.",PROPN PROPN PUNCT INTJ PUNCT PUNCT ADJ PUNCT VERB NOUN ADP NOUN PUNCT,negative,future
"According to Ahmed, as much guilt on women and men about the way in talking badly about a child, there is no doubt that returns to the unhappy childhood of children.",VERB ADP PROPN PUNCT ADP ADJ NOUN ADP NOUN CCONJ VERB ADP DET NOUN ADP VERB ADV ADP DET NOUN PUNCT PRON VERB PRON DET NOUN PRON VERB ADP DET ADJ NOUN ADP NOUN PUNCT,negative,present
The loss of the national popular social media platform could mean for thousands.,DET NOUN ADP DET ADJ ADJ ADJ NOUN NOUN AUX VERB ADP NOUN PUNCT,negative,future
"The same difficulties remain with his work, guidelines are specific for a MLA, and Ogwumike has no explanation for the TUr Door syndrome until he read his work.",DET ADJ NOUN VERB ADP PRON NOUN PUNCT NOUN AUX ADJ ADP DET NOUN PUNCT CCONJ PROPN VERB DET NOUN ADP DET PROPN NOUN SCONJ PRON VERB PRON NOUN PUNCT,negative,future
"For that, the retaliation was perhaps instinctive : the borrower to see Christian values as a sign of good faith ; the devil the “ greatest evil atheist friend ” gave him a free life after the onslaught.",ADP PRON PUNCT DET NOUN AUX ADV PROPN PUNCT DET NOUN PART VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN PUNCT DET NOUN DET PUNCT ADJ ADJ ADJ NOUN PUNCT VERB PRON DET ADJ NOUN ADP DET NOUN PUNCT,negative,past
