text,pos
"Patiently, I must have waited for the arrival of the long-awaited package.",ADV PUNCT PRON AUX AUX VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT
They can swim gracefully.,PRON AUX VERB DET NOUN ADV PUNCT
He will run swiftly.,PRON AUX VERB DET NOUN ADV PUNCT
She does dance beautifully.,PRON AUX VERB DET NOUN ADV PUNCT
I have read extensively.,PRON AUX VERB DET NOUN ADV PUNCT
We should study diligently.,PRON AUX VERB DET NOUN ADV PUNCT
"Although she loves to travel, she has never been to Paris.",SCONJ PRON VERB DET NOUN ADP PROPN PUNCT PRON AUX PART VERB DET NOUN PUNCT PUNCT
"While he enjoys cooking, he rarely bakes desserts.",SCONJ PRON VERB DET NOUN ADP PROPN PUNCT PRON AUX PART VERB DET NOUN PUNCT PUNCT
"Though they prefer tea, they occasionally drink coffee.",SCONJ PRON VERB DET NOUN ADP PROPN PUNCT PRON AUX PART VERB DET NOUN PUNCT PUNCT
"If I find a good book, I'll spend hours reading it.",SCONJ PRON VERB DET NOUN ADP PROPN PUNCT PRON AUX PART VERB DET NOUN PUNCT PUNCT
"Unless we leave now, we might miss the train.",SCONJ PRON VERB DET NOUN ADP PROPN PUNCT PRON AUX PART VERB DET NOUN PUNCT PUNCT
But they remained undeterred by the challenging circumstances. Life goes on.,CCONJ PRON NOUN ADP NOUN PUNCT NOUN AUX ADV ADJ PUNCT CCONJ PART ADV VERB PRON DET NOUN VERB PRON ADJ PUNCT
And she tirelessly pursued her dreams despite the obstacles. Passion ignites.,CCONJ PRON NOUN ADP NOUN PUNCT NOUN AUX ADV ADJ PUNCT CCONJ PART ADV VERB PRON DET NOUN VERB PRON ADJ PUNCT
Or he bravely confronted his fears and emerged stronger. Courage empowers.,CCONJ PRON NOUN ADP NOUN PUNCT NOUN AUX ADV ADJ PUNCT CCONJ PART ADV VERB PRON DET NOUN VERB PRON ADJ PUNCT
Yet we must not forget to take care of ourselves amidst the chaos. Self-care matters.,CCONJ PRON NOUN ADP NOUN PUNCT NOUN AUX ADV ADJ PUNCT CCONJ PART ADV VERB PRON DET NOUN VERB PRON ADJ PUNCT
Nor did they hesitate to lend a helping hand to those in need. Kindness spreads.,CCONJ PRON NOUN ADP NOUN PUNCT NOUN AUX ADV ADJ PUNCT CCONJ PART ADV VERB PRON DET NOUN VERB PRON ADJ PUNCT
